IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,KHM,Cambodia,Year,2016,TRUE,Sex,Female,FMLE,,,,,,,,,,11.12,,,7.19,,16.8,11.12 [7.19 – 16.8],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,11.34,,,9.52,,13.15,11.34 [9.52 – 13.15],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,11.44,,,7.53,,17,11.44 [7.53 – 17],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,MDA,Republic of Moldova,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,11.48,,,8.09,,16.04,11.48 [8.09 – 16.04],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,LAO,Lao People's Democratic Republic,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,11.7,,,10.04,,13.37,11.7 [10.04 – 13.37],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,11.87,,,8.43,,16.44,11.87 [8.43 – 16.44],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,12,,,9.45,,14.55,12 [9.45 – 14.55],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,MDA,Republic of Moldova,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,12.13,,,8.66,,16.73,12.13 [8.66 – 16.73],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,CHN,China,Year,2016,TRUE,Sex,Female,FMLE,,,,,,,,,,12.19,,,8.45,,17.27,12.19 [8.45 – 17.27],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,WSM,Samoa,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,12.58,,,8.73,,17.71,12.58 [8.73 – 17.71],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,CAF,Central African Republic,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,12.6,,,9.67,,16.26,12.6 [9.67 – 16.26],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,MDG,Madagascar,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,12.83,,,9.79,,16.62,12.83 [9.79 – 16.62],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,MWI,Malawi,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,12.99,,,11.3,,14.68,12.99 [11.3 – 14.68],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2016,TRUE,Sex,Female,FMLE,,,,,,,,,,13.14,,,9.15,,18.5,13.14 [9.15 – 18.5],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,13.25,,,9.5,,18.16,13.25 [9.5 – 18.16],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,UZB,Uzbekistan,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,13.3,,,9.15,,18.92,13.3 [9.15 – 18.92],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,13.4,,,11.21,,15.58,13.4 [11.21 – 15.58],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AMR,Americas,Country,DMA,Dominica,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,13.45,,,9.91,,17.98,13.45 [9.91 – 17.98],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2016,TRUE,Sex,Female,FMLE,,,,,,,,,,13.5,,,9.52,,18.78,13.5 [9.52 – 18.78],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,BEN,Benin,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,13.61,,,10.47,,17.49,13.61 [10.47 – 17.49],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,BLR,Belarus,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,13.68,,,9.84,,18.69,13.68 [9.84 – 18.69],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,ERI,Eritrea,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,13.77,,,11.65,,15.88,13.77 [11.65 – 15.88],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,13.88,,,9.13,,20.49,13.88 [9.13 – 20.49],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,13.93,,,11.84,,16.01,13.93 [11.84 – 16.01],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,BLR,Belarus,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,14.08,,,9.99,,19.47,14.08 [9.99 – 19.47],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,CPV,Cabo Verde,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,14.09,,,10.62,,18.44,14.09 [10.62 – 18.44],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,CHN,China,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,14.11,,,10.1,,19.37,14.11 [10.1 – 19.37],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,14.29,,,10.76,,18.71,14.29 [10.76 – 18.71],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,CAF,Central African Republic,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,14.31,,,10.91,,18.54,14.31 [10.91 – 18.54],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,COM,Comoros,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,14.32,,,10.75,,17.88,14.32 [10.75 – 17.88],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,BLR,Belarus,Year,2016,TRUE,Sex,Female,FMLE,,,,,,,,,,14.42,,,10.12,,20.11,14.42 [10.12 – 20.11],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,GIN,Guinea,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,14.5,,,10.82,,19.14,14.5 [10.82 – 19.14],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,RWA,Rwanda,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,14.56,,,11.07,,18.88,14.56 [11.07 – 18.88],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2016,TRUE,Sex,Female,FMLE,,,,,,,,,,14.61,,,12.74,,16.49,14.61 [12.74 – 16.49],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,14.8,,,9.67,,21.94,14.8 [9.67 – 21.94],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,14.86,,,12.1,,17.61,14.86 [12.1 – 17.61],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,15.44,,,13.08,,17.79,15.44 [13.08 – 17.79],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,STP,Sao Tome and Principe,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,15.47,,,11.67,,20.16,15.47 [11.67 – 20.16],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,MWI,Malawi,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,15.61,,,13.33,,17.88,15.61 [13.33 – 17.88],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,BEN,Benin,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,15.89,,,12.1,,20.57,15.89 [12.1 – 20.57],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,CAF,Central African Republic,Year,2016,TRUE,Sex,Female,FMLE,,,,,,,,,,15.94,,,12.09,,20.71,15.94 [12.09 – 20.71],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,CHN,China,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,15.96,,,11.69,,21.4,15.96 [11.69 – 21.4],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,FIN,Finland,Year,2016,TRUE,Sex,Female,FMLE,,,,,,,,,,15.96,,,12.18,,20.62,15.96 [12.18 – 20.62],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,GMB,Gambia,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,15.98,,,12.04,,20.89,15.98 [12.04 – 20.89],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,16.13,,,9.72,,22.53,16.13 [9.72 – 22.53],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,LAO,Lao People's Democratic Republic,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,16.27,,,12.28,,20.25,16.27 [12.28 – 20.25],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,16.55,,,12.44,,20.67,16.55 [12.44 – 20.67],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,FIN,Finland,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,16.56,,,12.87,,21.04,16.56 [12.87 – 21.04],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2016,TRUE,Sex,Female,FMLE,,,,,,,,,,16.74,,,10.92,,24.77,16.74 [10.92 – 24.77],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2016,TRUE,Sex,Female,FMLE,,,,,,,,,,16.93,,,14.31,,19.54,16.93 [14.31 – 19.54],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,BWA,Botswana,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,17.11,,,13.29,,21.75,17.11 [13.29 – 21.75],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,17.12,,,12.42,,21.83,17.12 [12.42 – 21.83],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,MDG,Madagascar,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,17.17,,,13.18,,22.03,17.17 [13.18 – 22.03],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,WSM,Samoa,Year,2016,TRUE,Sex,Female,FMLE,,,,,,,,,,17.19,,,11.86,,24.24,17.19 [11.86 – 24.24],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,FIN,Finland,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,17.19,,,13.59,,21.49,17.19 [13.59 – 21.49],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,GEO,Georgia,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,17.25,,,12.62,,23.1,17.25 [12.62 – 23.1],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,17.39,,,12.43,,23.63,17.39 [12.43 – 23.63],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,FJI,Fiji,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,17.41,,,12.52,,23.62,17.41 [12.52 – 23.62],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,TUV,Tuvalu,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,17.54,,,12.69,,23.72,17.54 [12.69 – 23.72],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,SEN,Senegal,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,17.56,,,14.73,,20.39,17.56 [14.73 – 20.39],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,RWA,Rwanda,Year,2016,TRUE,Sex,Female,FMLE,,,,,,,,,,17.58,,,13.44,,22.66,17.58 [13.44 – 22.66],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2016,TRUE,Sex,Female,FMLE,,,,,,,,,,17.6,,,12.41,,22.79,17.6 [12.41 – 22.79],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,GAB,Gabon,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,17.67,,,12.59,,24.21,17.67 [12.59 – 24.21],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,SYC,Seychelles,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,17.7,,,13.21,,23.28,17.7 [13.21 – 23.28],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,17.7,,,14.82,,20.58,17.7 [14.82 – 20.58],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,17.74,,,13.12,,22.37,17.74 [13.12 – 22.37],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,MNG,Mongolia,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,17.77,,,13.55,,22.95,17.77 [13.55 – 22.95],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,17.79,,,12.25,,24.97,17.79 [12.25 – 24.97],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,GEO,Georgia,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,17.96,,,12.79,,24.63,17.96 [12.79 – 24.63],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,BEN,Benin,Year,2016,TRUE,Sex,Female,FMLE,,,,,,,,,,18.11,,,13.69,,23.57,18.11 [13.69 – 23.57],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,MWI,Malawi,Year,2016,TRUE,Sex,Female,FMLE,,,,,,,,,,18.17,,,15.33,,21.01,18.17 [15.33 – 21.01],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,18.2,,,13,,24.8,18.2 [13 – 24.8],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2016,TRUE,Sex,Female,FMLE,,,,,,,,,,18.22,,,11.84,,26.95,18.22 [11.84 – 26.95],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2016,TRUE,Sex,Female,FMLE,,,,,,,,,,18.28,,,14.61,,21.95,18.28 [14.61 – 21.95],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2016,TRUE,Sex,Female,FMLE,,,,,,,,,,18.29,,,13.84,,23.76,18.29 [13.84 – 23.76],,,EN,2018-09-13T05:00:00.000Z
